SE,NewKPI1,NewKPI2,NewKPI3,KPI0012,KPI0017,KPI0068,KPI0077,KPI0116,KPI3226,TS,SI,IT,TSI,MarketArea,ReportYearNumber
0.112846398,319.3494047,181.7718712,49.00711451,0.835956792,411.9271429,28.91666667,53583.41667,216.2515723,0.16413176,58048.73886,8908.114907,15650.39284,2844801.192,Ford - West,2009
1.39516129,764,388.55,15.5,0.825970501,507.5060539,30.16666667,54152,181.1803279,0.151462486,296852.2,6022.525,11842,4601209.1,Ford - West,2010
1.651006711,770.96,273.75,17.33,0.797553329,583.1144211,36.08333333,61171.91667,161.1115702,0.136826391,211050.3,4744.0875,13360.7368,3657501.699,Ford - West,2011
1.585034014,667.48,191.19,16.33,0.824684615,677.5379075,35.91666667,58678.16667,135.4688797,0.134064339,127615.5012,3122.1327,10899.9484,2083961.135,Ford - West,2012
1.781967653,438.3865236,19.58762354,63.38882982,0.952160816,359.8239023,71.75,133055,76.87600644,0.125181902,8586.950189,1241.636535,27788.80874,544316.7242,Ford - Central,2008
0.310567625,91.68336021,99.34686278,149.9039559,0.876031996,385.6564665,62.66666667,103875.5,91.47113594,0.119926361,9108.454206,14892.48774,13743.69839,1365393.318,Ford - Central,2009
1.100125156,396.88,110.09,49.94,0.675203783,485.9213969,82.41666667,161686.25,82.72190202,0.118793568,43692.5192,5497.8946,19820.1872,2182004.409,Ford - Central,2010
1.143583227,447.48,95.54,51.81,0.707556791,487.7031759,86,172126,72.03351955,0.109059803,42752.2392,4949.9274,23183.9388,2214993.513,Ford - Central,2011
0.967161017,421.92,96.28,49.68,0.712247313,517.9964539,85.91666667,172284.9167,94.23880597,0.108707986,40622.4576,4783.1904,20960.9856,2018123.694,Ford - Central,2012
1.18638122,-231.7758197,-1.58120701,93.59478583,0.8859073,276.2441417,7.333333333,11923.16667,10.26666667,0.11024729,366.4855509,-147.9927315,-21693.00821,34301.13664,Ford - Great Lakes,2008
0.114842419,278.3151306,143.3343258,85.65039731,0.972456636,291.3143022,6.75,9931.833333,95.9375,0.100964965,39892.1116,12276.64195,23837.80151,3416775.208,Ford - Great Lakes,2009
0.371134021,7.08,33.87,194,0.834708552,173.9203044,6.166666667,10396.08333,61.4,0.109557872,239.7996,6570.78,1373.52,46521.1224,Ford - Great Lakes,2010
1.477260991,373.3401682,20.11976348,18.18714562,0.766995475,488.9025908,33.33333333,87130.58333,106.0888889,0.219505228,7511.515882,365.9210683,6789.992005,136613.0332,Ford - West,2008
1.382846069,405.8300702,31.78354213,98.71666512,0.737886227,442.5182296,28.41666667,82747,66.37837838,0.227212529,12898.71713,3137.565285,40062.19114,1273318.34,Ford - West,2009
0.915343915,377.13,88.84,27,0.676978137,440.4808833,27.33333333,65427.41667,67.4964539,0.198502739,33504.2292,2398.68,10182.51,904614.1884,Ford - West,2010
0.9375,310.43,131.33,30.57,0.633211111,497.147209,27.75,66146.16667,107.1409396,0.183723104,40768.7719,4014.7581,9489.8451,1246301.357,Ford - West,2011
0.679558011,170.76,55.46,51.71,0.595018011,400.6409405,34.58333333,91228.41667,64.66298343,0.181918311,9470.3496,2867.8366,8829.9996,489711.7778,Ford - West,2012
0.554373585,156.8373418,142.2638077,47.35101373,0.996270674,176.1329966,81.33333333,138375.5833,89.98330551,0.122393481,22312.27743,6736.335512,7426.407125,1056508.955,Ford - Southeast,2008
